CB_0_closed,CB_1_closed,CB_2_closed,CB_3_closed,CB_4_closed,CB_5_closed,CB_6_closed,CB_7_closed,CB_8_closed,CB_9_closed,CB_10_closed,CB_11_closed,CB_12_closed,CB_13_closed,CB_14_closed,CB_15_closed,CB_16_closed,CB_17_closed,CB_18_closed,CB_19_closed,CB_20_closed,CB_21_closed,CB_151_closed,CB_152_closed,CB_153_closed,CB_158_closed,CB_22_closed,CB_23_closed,CB_24_closed,CB_25_closed,CB_171_closed,CB_172_closed,CB_173_closed,CB_178_closed,load_0::p,load_0::q,load_1::p,load_1::q,load_2::p,load_2::q,load_3::p,load_3::q,load_4::p,load_4::q,load_5::p,load_5::q,load_6::p,load_6::q,load_7::p,load_7::q,load_8::p,load_8::q,load_9::p,load_9::q,load_10::p,load_10::q,load_11::p,load_11::q,load_12::p,load_12::q,load_13::p,load_13::q,load_14::p,load_14::q,load_15::p,load_15::q,load_16::p,load_16::q,load_17::p,load_17::q,trafo_0_in_service,trafo_1_in_service,trafo_2_in_service,trafo_3_in_service,trafo_4_in_service,trafo_5_in_service,feeder_0_in_service,feeder_1_in_service,total_init_load,anomaly,reason
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,3.0204,0.6041,2.4064,0.6563,2.4956,0.2773,3.6701,0.9175,1.9877,0.4969,2.2629,0.2263,2.48,0.496,2.2074,0.602,2.7439,0.3049,2.614,0.6535,1.879,0.4697,2.1988,0.2199,2.7045,0.601,3.0551,0.2546,2.8745,0.5749,3.3333,0.9091,2.2614,0.2513,3.4457,0.8614,1,0,1,1,1,0,1,1,47.64078622223114,1,Lines over 80%
0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0.0,0.0,3.3759,0.9207,2.6035,0.2893,2.9038,0.7259,1.6198,0.4049,2.6066,0.2607,2.9681,0.5936,3.2343,0.8821,0.0,0.0,3.0571,0.7643,2.3523,0.5881,1.9786,0.1979,0.0,0.0,3.3815,0.2818,2.1017,0.4203,2.5677,0.7003,2.6356,0.2928,3.5842,0.8961,1,0,1,0,1,0,0,1,40.970728008043416,1,Lines over 80%
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0.0,0.0,2.4356,0.6642,1.8695,0.2077,2.7672,0.6918,2.1281,0.532,2.1648,0.2165,2.9186,0.5837,2.4373,0.6647,1.8374,0.2042,2.8713,0.7178,0.0,0.0,2.3948,0.2395,1.8581,0.4129,2.5286,0.2107,2.2443,0.4489,2.3889,0.6515,2.2335,0.2482,2.5787,0.6447,1,0,1,1,1,1,1,1,37.656497628878896,1,Lines over 80%
0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,2.0318,0.4064,2.5028,0.6826,2.6874,0.2986,0.0,0.0,1.8758,0.4689,2.8261,0.2826,3.0409,0.6082,3.1101,0.8482,1.9353,0.215,3.3453,0.8363,2.2511,0.5628,2.0979,0.2098,2.3419,0.5204,2.9171,0.2431,2.4852,0.497,2.2018,0.6005,2.1273,0.2364,3.5131,0.8783,0,1,1,1,0,1,0,1,43.29085774872499,1,Lines over 80%
0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,2.5088,0.5018,0.0,0.0,2.2944,0.2549,3.4614,0.8653,2.2359,0.559,0.0,0.0,0.0,0.0,2.3999,0.6545,1.9252,0.2139,3.1468,0.7867,2.2323,0.5581,3.0694,0.3069,2.2744,0.5054,2.6285,0.219,2.2138,0.4428,2.4972,0.6811,2.5367,0.2819,2.6052,0.6513,0,1,1,1,0,1,0,1,38.02993169689091,0,No anomaly
1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,2.0439,0.4088,3.1386,0.856,2.4342,0.2705,0.0,0.0,1.952,0.488,2.2122,0.2212,2.0219,0.4044,2.5348,0.6913,2.5923,0.288,2.3759,0.594,2.0863,0.5216,2.9986,0.2999,2.6401,0.5867,3.1654,0.2638,2.9203,0.5841,3.0687,0.8369,2.5348,0.2816,2.4866,0.6217,1,0,0,1,1,0,1,1,43.206758898388536,1,Transformers over 80%
1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,2.189,0.4378,2.8283,0.7713,1.9489,0.2165,0.0,0.0,2.0308,0.5077,2.575,0.2575,2.824,0.5648,2.9342,0.8002,1.8012,0.2001,2.6412,0.6603,2.2456,0.5614,2.4959,0.2496,0.0,0.0,2.3838,0.1986,3.0738,0.6148,2.7698,0.7554,2.0421,0.2269,3.0873,0.7718,1,0,0,1,1,1,1,1,39.87085893108326,0,No anomaly
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,2.5674,0.5135,3.2639,0.8902,1.8977,0.2109,2.7466,0.6866,1.6965,0.4241,2.4864,0.2486,2.3463,0.4693,2.3642,0.6448,2.1759,0.2418,0.0,0.0,0.0,0.0,2.5589,0.2559,2.2865,0.5081,3.2857,0.2738,2.9627,0.5925,0.0,0.0,2.0854,0.2317,3.3202,0.83,0,1,1,1,1,0,1,1,38.0441828225042,1,Lines over 80%
1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,2.2649,0.453,2.4125,0.6579,2.6088,0.2899,2.9056,0.7264,2.3805,0.5951,2.241,0.2241,2.8702,0.574,3.092,0.8433,1.8986,0.211,2.6546,0.6636,0.0,0.0,2.2903,0.229,1.9365,0.4303,0.0,0.0,2.235,0.447,3.1977,0.8721,2.1437,0.2382,0.0,0.0,1,0,1,0,0,1,1,0,37.131868690133295,1,Lines over 80%
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,2.1823,0.4365,3.1645,0.8631,2.2219,0.2469,2.4238,0.6059,1.7554,0.4388,2.0738,0.2074,2.9085,0.5817,2.2885,0.6241,1.915,0.2128,0.0,0.0,2.1304,0.5326,2.1623,0.2162,1.9659,0.4369,3.631,0.3026,2.8976,0.5795,0.0,0.0,2.1577,0.2397,3.0658,0.7664,1,1,0,1,1,0,1,1,38.94438858888282,0,No anomaly
