CB_0_closed,CB_1_closed,CB_2_closed,CB_3_closed,CB_4_closed,CB_5_closed,CB_6_closed,CB_7_closed,CB_8_closed,CB_9_closed,CB_10_closed,CB_11_closed,CB_12_closed,CB_13_closed,CB_14_closed,CB_15_closed,CB_16_closed,CB_17_closed,CB_18_closed,CB_19_closed,CB_20_closed,CB_21_closed,CB_151_closed,CB_152_closed,CB_153_closed,CB_158_closed,CB_22_closed,CB_23_closed,CB_24_closed,CB_25_closed,CB_171_closed,CB_172_closed,CB_173_closed,CB_178_closed,load_0::p,load_0::q,load_1::p,load_1::q,load_2::p,load_2::q,load_3::p,load_3::q,load_4::p,load_4::q,load_5::p,load_5::q,load_6::p,load_6::q,load_7::p,load_7::q,load_8::p,load_8::q,load_9::p,load_9::q,load_10::p,load_10::q,load_11::p,load_11::q,load_12::p,load_12::q,load_13::p,load_13::q,load_14::p,load_14::q,load_15::p,load_15::q,load_16::p,load_16::q,load_17::p,load_17::q,trafo_0_in_service,trafo_1_in_service,trafo_2_in_service,trafo_3_in_service,trafo_4_in_service,trafo_5_in_service,feeder_0_in_service,feeder_1_in_service,total_init_load,anomaly,reason
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,2.6995,0.5399,2.248,0.6131,2.5305,0.2812,2.6867,0.6717,2.057,0.5142,2.5579,0.2558,2.5746,0.5149,2.7568,0.7518,2.2651,0.2517,3.3008,0.8252,2.0672,0.5168,2.41,0.241,2.7085,0.6019,3.1449,0.2621,2.0644,0.4129,2.7194,0.7416,2.5611,0.2846,3.1633,0.7908,1,1,1,1,1,1,1,1,46.515457982346796,0,No anomaly
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,2.6995,0.5399,2.248,0.6131,0.0,0.0,2.6867,0.6717,2.057,0.5142,2.5579,0.2558,2.5746,0.5149,2.7568,0.7518,2.2651,0.2517,3.3008,0.8252,2.0672,0.5168,2.41,0.241,2.7085,0.6019,3.1449,0.2621,2.0644,0.4129,2.7194,0.7416,2.5611,0.2846,3.1633,0.7908,1,1,1,1,1,1,1,1,46.515457982346796,0,No anomaly
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,2.6995,0.5399,2.248,0.6131,0.0,0.0,2.6867,0.6717,2.057,0.5142,2.5579,0.2558,2.5746,0.5149,0.0,0.0,2.2651,0.2517,3.3008,0.8252,2.0672,0.5168,2.41,0.241,2.7085,0.6019,3.1449,0.2621,2.0644,0.4129,2.7194,0.7416,2.5611,0.2846,3.1633,0.7908,1,1,1,1,1,1,1,1,46.515457982346796,0,No anomaly
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,2.6995,0.5399,2.248,0.6131,0.0,0.0,2.6867,0.6717,2.057,0.5142,2.5579,0.2558,2.5746,0.5149,0.0,0.0,2.2651,0.2517,3.3008,0.8252,2.0672,0.5168,2.41,0.241,2.7085,0.6019,3.1449,0.2621,0.0,0.0,2.7194,0.7416,2.5611,0.2846,3.1633,0.7908,1,1,1,1,1,1,1,1,46.515457982346796,0,No anomaly
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,2.6995,0.5399,2.248,0.6131,0.0,0.0,2.6867,0.6717,2.057,0.5142,2.5579,0.2558,2.5746,0.5149,0.0,0.0,2.2651,0.2517,3.3008,0.8252,2.0672,0.5168,2.41,0.241,2.7085,0.6019,3.1449,0.2621,0.0,0.0,2.7194,0.7416,2.5611,0.2846,3.1633,0.7908,1,1,1,1,1,0,1,1,46.515457982346796,0,No anomaly
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,2.6995,0.5399,2.248,0.6131,0.0,0.0,2.6867,0.6717,2.057,0.5142,2.5579,0.2558,2.5746,0.5149,0.0,0.0,2.2651,0.2517,3.3008,0.8252,2.0672,0.5168,2.41,0.241,2.7085,0.6019,3.1449,0.2621,0.0,0.0,0.0,0.0,2.5611,0.2846,3.1633,0.7908,1,1,1,1,1,0,1,1,46.515457982346796,1,No anomaly
1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,2.8311,0.5662,3.1756,0.8661,2.0409,0.2268,2.6712,0.6678,2.2891,0.5723,2.9025,0.2902,2.8201,0.564,2.8499,0.7772,2.1027,0.2336,2.5805,0.6451,2.3726,0.5932,2.3738,0.2374,2.6212,0.5825,2.7281,0.2273,2.3317,0.4663,3.0511,0.8321,1.8902,0.21,3.4981,0.8745,1,1,1,1,1,1,1,0,47.13033746689775,0,Load Lost > 20%
1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,2.8311,0.5662,3.1756,0.8661,2.0409,0.2268,2.6712,0.6678,2.2891,0.5723,2.9025,0.2902,2.8201,0.564,2.8499,0.7772,2.1027,0.2336,2.5805,0.6451,2.3726,0.5932,2.3738,0.2374,2.6212,0.5825,2.7281,0.2273,2.3317,0.4663,3.0511,0.8321,1.8902,0.21,3.4981,0.8745,1,1,1,1,0,1,1,0,47.13033746689775,0,No anomaly
1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,2.8311,0.5662,3.1756,0.8661,2.0409,0.2268,2.6712,0.6678,2.2891,0.5723,2.9025,0.2902,2.8201,0.564,2.8499,0.7772,2.1027,0.2336,2.5805,0.6451,2.3726,0.5932,2.3738,0.2374,2.6212,0.5825,2.7281,0.2273,0.0,0.0,3.0511,0.8321,1.8902,0.21,3.4981,0.8745,1,1,1,1,0,1,1,0,47.13033746689775,0,No anomaly
1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,2.8311,0.5662,3.1756,0.8661,2.0409,0.2268,2.6712,0.6678,2.2891,0.5723,2.9025,0.2902,2.8201,0.564,0.0,0.0,2.1027,0.2336,2.5805,0.6451,2.3726,0.5932,2.3738,0.2374,2.6212,0.5825,2.7281,0.2273,0.0,0.0,3.0511,0.8321,1.8902,0.21,3.4981,0.8745,1,1,1,1,0,1,1,0,47.13033746689775,0,No anomaly
1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,2.8311,0.5662,3.1756,0.8661,2.0409,0.2268,2.6712,0.6678,2.2891,0.5723,2.9025,0.2902,2.8201,0.564,0.0,0.0,2.1027,0.2336,2.5805,0.6451,2.3726,0.5932,2.3738,0.2374,2.6212,0.5825,0.0,0.0,0.0,0.0,3.0511,0.8321,1.8902,0.21,3.4981,0.8745,1,1,1,1,0,1,1,0,47.13033746689775,0,No anomaly
1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,2.8311,0.5662,3.1756,0.8661,2.0409,0.2268,2.6712,0.6678,2.2891,0.5723,2.9025,0.2902,0.0,0.0,0.0,0.0,2.1027,0.2336,2.5805,0.6451,2.3726,0.5932,2.3738,0.2374,2.6212,0.5825,0.0,0.0,0.0,0.0,3.0511,0.8321,1.8902,0.21,3.4981,0.8745,1,1,1,1,0,1,1,0,47.13033746689775,1,No anomaly
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,2.9969,0.5994,3.0552,0.8332,2.0271,0.2252,3.5893,0.8973,2.0926,0.5232,2.5527,0.2553,2.8419,0.5684,3.3351,0.9096,2.5714,0.2857,2.3975,0.5994,1.6007,0.4002,2.3014,0.2301,2.1442,0.4765,3.4546,0.2879,2.9543,0.5909,3.1609,0.8621,2.159,0.2399,2.8678,0.717,1,1,1,1,1,1,0,1,48.10266450122747,0,Load Lost > 20%
0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,0,48.10266450122747,1,No anomaly
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,2.7489,0.5498,2.6308,0.7175,1.8219,0.2024,2.6658,0.6665,1.7916,0.4479,2.2147,0.2215,2.4404,0.4881,2.7972,0.7629,2.072,0.2302,2.6285,0.6571,2.331,0.5828,2.1306,0.2131,2.286,0.508,3.6835,0.307,2.64,0.528,2.2026,0.6007,1.8684,0.2076,3.4394,0.8598,1,1,1,1,1,0,0,1,44.39328751386721,0,Config Violation: Feeder1
0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,2.7489,0.5498,0.0,0.0,1.8219,0.2024,2.6658,0.6665,1.7916,0.4479,2.2147,0.2215,2.4404,0.4881,2.7972,0.7629,2.072,0.2302,2.6285,0.6571,2.331,0.5828,2.1306,0.2131,2.286,0.508,3.6835,0.307,2.64,0.528,2.2026,0.6007,1.8684,0.2076,3.4394,0.8598,1,1,1,1,1,0,0,1,44.39328751386721,0,No anomaly
0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,2.7489,0.5498,0.0,0.0,1.8219,0.2024,2.6658,0.6665,1.7916,0.4479,2.2147,0.2215,2.4404,0.4881,2.7972,0.7629,2.072,0.2302,2.6285,0.6571,0.0,0.0,2.1306,0.2131,2.286,0.508,3.6835,0.307,2.64,0.528,2.2026,0.6007,1.8684,0.2076,3.4394,0.8598,1,1,1,1,1,0,0,1,44.39328751386721,0,No anomaly
0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2.7489,0.5498,0.0,0.0,1.8219,0.2024,2.6658,0.6665,1.7916,0.4479,2.2147,0.2215,2.4404,0.4881,2.7972,0.7629,2.072,0.2302,2.6285,0.6571,0.0,0.0,2.1306,0.2131,2.286,0.508,3.6835,0.307,2.64,0.528,2.2026,0.6007,1.8684,0.2076,3.4394,0.8598,1,1,0,1,1,0,0,1,44.39328751386721,0,No anomaly
0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2.7489,0.5498,0.0,0.0,1.8219,0.2024,0.0,0.0,1.7916,0.4479,2.2147,0.2215,2.4404,0.4881,2.7972,0.7629,2.072,0.2302,2.6285,0.6571,0.0,0.0,2.1306,0.2131,2.286,0.508,3.6835,0.307,2.64,0.528,2.2026,0.6007,1.8684,0.2076,3.4394,0.8598,1,1,0,1,1,0,0,1,44.39328751386721,0,No anomaly
0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2.7489,0.5498,0.0,0.0,1.8219,0.2024,0.0,0.0,1.7916,0.4479,2.2147,0.2215,2.4404,0.4881,2.7972,0.7629,2.072,0.2302,2.6285,0.6571,0.0,0.0,2.1306,0.2131,2.286,0.508,3.6835,0.307,2.64,0.528,2.2026,0.6007,1.8684,0.2076,3.4394,0.8598,1,1,0,1,1,0,0,1,44.39328751386721,0,No anomaly
0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2.7489,0.5498,0.0,0.0,1.8219,0.2024,0.0,0.0,1.7916,0.4479,2.2147,0.2215,0.0,0.0,2.7972,0.7629,2.072,0.2302,2.6285,0.6571,0.0,0.0,2.1306,0.2131,2.286,0.508,3.6835,0.307,2.64,0.528,2.2026,0.6007,1.8684,0.2076,3.4394,0.8598,1,1,0,1,1,0,0,1,44.39328751386721,1,No anomaly
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,2.9151,0.583,3.298,0.8995,2.1736,0.2415,3.695,0.9237,1.941,0.4852,2.5208,0.2521,2.2412,0.4482,3.2778,0.894,2.3458,0.2606,2.8983,0.7246,1.7906,0.4477,2.7945,0.2794,1.844,0.4098,3.3028,0.2752,2.3592,0.4718,2.6008,0.7093,2.675,0.2972,3.2656,0.8164,1,1,1,1,1,0,0,1,47.93906665745574,0,Load Lost > 20%
0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,2.9151,0.583,3.298,0.8995,2.1736,0.2415,3.695,0.9237,1.941,0.4852,0.0,0.0,2.2412,0.4482,3.2778,0.894,2.3458,0.2606,2.8983,0.7246,1.7906,0.4477,2.7945,0.2794,1.844,0.4098,3.3028,0.2752,2.3592,0.4718,2.6008,0.7093,2.675,0.2972,3.2656,0.8164,1,1,1,1,1,0,0,1,47.93906665745574,0,No anomaly
0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,2.9151,0.583,3.298,0.8995,2.1736,0.2415,3.695,0.9237,1.941,0.4852,0.0,0.0,2.2412,0.4482,3.2778,0.894,2.3458,0.2606,2.8983,0.7246,1.7906,0.4477,0.0,0.0,1.844,0.4098,3.3028,0.2752,2.3592,0.4718,2.6008,0.7093,2.675,0.2972,3.2656,0.8164,1,1,1,1,1,0,0,1,47.93906665745574,0,No anomaly
0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,2.9151,0.583,3.298,0.8995,2.1736,0.2415,3.695,0.9237,1.941,0.4852,0.0,0.0,2.2412,0.4482,3.2778,0.894,2.3458,0.2606,2.8983,0.7246,1.7906,0.4477,0.0,0.0,1.844,0.4098,3.3028,0.2752,2.3592,0.4718,2.6008,0.7093,0.0,0.0,3.2656,0.8164,1,1,1,1,1,0,0,1,47.93906665745574,0,No anomaly
