CB_0_closed,CB_1_closed,CB_2_closed,CB_3_closed,CB_4_closed,CB_5_closed,CB_6_closed,CB_7_closed,CB_8_closed,CB_9_closed,CB_10_closed,CB_11_closed,CB_12_closed,CB_13_closed,CB_14_closed,CB_15_closed,CB_16_closed,CB_17_closed,CB_18_closed,CB_19_closed,CB_20_closed,CB_21_closed,CB_151_closed,CB_152_closed,CB_153_closed,CB_158_closed,CB_22_closed,CB_23_closed,CB_24_closed,CB_25_closed,CB_171_closed,CB_172_closed,CB_173_closed,CB_178_closed,load_0::p,load_0::q,load_1::p,load_1::q,load_2::p,load_2::q,load_3::p,load_3::q,load_4::p,load_4::q,load_5::p,load_5::q,load_6::p,load_6::q,load_7::p,load_7::q,load_8::p,load_8::q,load_9::p,load_9::q,load_10::p,load_10::q,load_11::p,load_11::q,load_12::p,load_12::q,load_13::p,load_13::q,load_14::p,load_14::q,load_15::p,load_15::q,load_16::p,load_16::q,load_17::p,load_17::q,trafo_0_in_service,trafo_1_in_service,trafo_2_in_service,trafo_3_in_service,trafo_4_in_service,trafo_5_in_service,feeder_0_in_service,feeder_1_in_service,total_init_load,anomaly,reason
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,2.6856,0.5371,2.788,0.7604,2.0743,0.2305,2.5681,0.642,1.9436,0.4859,2.2498,0.225,2.8676,0.5735,3.138,0.8558,2.1638,0.2404,3.0685,0.7671,1.7771,0.4443,2.2391,0.2239,2.1227,0.4717,3.5192,0.2933,2.2262,0.4452,2.9771,0.8119,2.7464,0.3052,3.6635,0.9159,1,1,1,1,1,1,1,1,46.818591393660675,0,No anomaly
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,2.6856,0.5371,2.788,0.7604,2.0743,0.2305,2.5681,0.642,1.9436,0.4859,2.2498,0.225,2.8676,0.5735,3.138,0.8558,2.1638,0.2404,3.0685,0.7671,1.7771,0.4443,2.2391,0.2239,2.1227,0.4717,3.5192,0.2933,2.2262,0.4452,2.9771,0.8119,2.7464,0.3052,3.6635,0.9159,1,1,1,0,1,1,1,1,46.818591393660675,1,No anomaly
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,2.0177,0.4035,3.3729,0.9199,1.7948,0.1994,3.1999,0.8,1.5948,0.3987,2.9002,0.29,2.8335,0.5667,3.2235,0.8791,1.7721,0.1969,2.3633,0.5908,1.9349,0.4837,2.0883,0.2088,2.0261,0.4503,2.8911,0.2409,1.9728,0.3946,3.3337,0.9092,2.7351,0.3039,3.5249,0.8812,1,1,1,1,1,1,1,1,45.579781815964395,0,Transformers over 80%
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,2.0177,0.4035,3.3729,0.9199,1.7948,0.1994,3.1999,0.8,1.5948,0.3987,2.9002,0.29,2.8335,0.5667,3.2235,0.8791,1.7721,0.1969,2.3633,0.5908,1.9349,0.4837,2.0883,0.2088,2.0261,0.4503,2.8911,0.2409,1.9728,0.3946,3.3337,0.9092,2.7351,0.3039,3.5249,0.8812,0,1,1,1,1,1,1,1,45.579781815964395,1,No anomaly
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,2.3273,0.4655,2.3793,0.6489,2.5699,0.2855,2.9919,0.748,2.2479,0.562,2.2529,0.2253,2.3319,0.4664,2.3993,0.6544,2.7414,0.3046,3.175,0.7937,1.7936,0.4484,2.012,0.2012,2.4563,0.5458,3.3994,0.2833,2.9756,0.5951,2.7863,0.7599,1.8434,0.2048,2.7437,0.6859,1,1,1,1,1,0,1,1,45.42707912718086,0,Lines over 80%
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,2.3273,0.4655,2.3793,0.6489,2.5699,0.2855,2.9919,0.748,2.2479,0.562,2.2529,0.2253,2.3319,0.4664,2.3993,0.6544,2.7414,0.3046,3.175,0.7937,1.7936,0.4484,2.012,0.2012,2.4563,0.5458,3.3994,0.2833,2.9756,0.5951,2.7863,0.7599,1.8434,0.2048,2.7437,0.6859,1,1,1,0,1,0,1,1,45.42707912718086,1,No anomaly
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,3.0374,0.6075,2.7431,0.7481,2.4635,0.2737,2.9741,0.7435,1.8093,0.4523,2.1593,0.2159,2.1181,0.4236,2.8692,0.7825,2.1155,0.2351,3.1788,0.7947,2.1534,0.5384,2.4043,0.2404,1.7834,0.3963,3.3457,0.2788,2.743,0.5486,2.6895,0.7335,2.4279,0.2698,2.5113,0.6278,1,1,1,1,1,1,1,1,45.52700925679045,0,Transformers over 80%
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,3.0374,0.6075,2.7431,0.7481,2.4635,0.2737,2.9741,0.7435,1.8093,0.4523,2.1593,0.2159,2.1181,0.4236,2.8692,0.7825,2.1155,0.2351,3.1788,0.7947,2.1534,0.5384,2.4043,0.2404,1.7834,0.3963,3.3457,0.2788,2.743,0.5486,2.6895,0.7335,2.4279,0.2698,2.5113,0.6278,1,1,0,1,1,1,1,1,45.52700925679045,1,No anomaly
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,2.5115,0.5023,2.6782,0.7304,2.2758,0.2529,3.0028,0.7507,2.339,0.5847,2.369,0.2369,2.5371,0.5074,2.364,0.6447,2.225,0.2472,2.5346,0.6337,1.6432,0.4108,2.7522,0.2752,2.4062,0.5347,2.7442,0.2287,2.7752,0.555,2.9723,0.8106,2.1317,0.2369,3.5589,0.8897,1,1,1,1,1,1,1,0,45.82111756735126,0,Transformers over 80%
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,2.5115,0.5023,2.6782,0.7304,2.2758,0.2529,3.0028,0.7507,2.339,0.5847,2.369,0.2369,2.5371,0.5074,2.364,0.6447,2.225,0.2472,2.5346,0.6337,1.6432,0.4108,2.7522,0.2752,2.4062,0.5347,2.7442,0.2287,2.7752,0.555,2.9723,0.8106,2.1317,0.2369,3.5589,0.8897,1,1,0,1,0,1,1,0,45.82111756735126,1,No anomaly
