CB_0_closed,CB_1_closed,CB_2_closed,CB_3_closed,CB_4_closed,CB_5_closed,CB_6_closed,CB_7_closed,CB_8_closed,CB_9_closed,CB_10_closed,CB_11_closed,CB_12_closed,CB_13_closed,CB_14_closed,CB_15_closed,CB_16_closed,CB_17_closed,CB_18_closed,CB_19_closed,CB_20_closed,CB_21_closed,CB_151_closed,CB_152_closed,CB_153_closed,CB_158_closed,CB_22_closed,CB_23_closed,CB_24_closed,CB_25_closed,CB_171_closed,CB_172_closed,CB_173_closed,CB_178_closed,load_0::p,load_0::q,load_1::p,load_1::q,load_2::p,load_2::q,load_3::p,load_3::q,load_4::p,load_4::q,load_5::p,load_5::q,load_6::p,load_6::q,load_7::p,load_7::q,load_8::p,load_8::q,load_9::p,load_9::q,load_10::p,load_10::q,load_11::p,load_11::q,load_12::p,load_12::q,load_13::p,load_13::q,load_14::p,load_14::q,load_15::p,load_15::q,load_16::p,load_16::q,load_17::p,load_17::q,trafo_0_in_service,trafo_1_in_service,trafo_2_in_service,trafo_3_in_service,trafo_4_in_service,trafo_5_in_service,feeder_0_in_service,feeder_1_in_service,total_init_load,anomaly,reason
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4318,0.0864,0.0675,0.0184,0.4163,0.0463,1.2897,0.3224,0.745,0.1862,0.0433,0.0043,0.2169,0.0434,0.8046,0.2194,0.7723,0.0858,0.5479,0.137,0.2442,0.061,0.4711,0.0471,0.5303,0.1178,0.3297,0.0275,0.6779,0.1356,0.0607,0.0166,0.3503,0.0389,1.2271,0.3068,1,1,1,1,1,1,1,1,9.226723767549519,0,No anomaly
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4318,0.0864,0.0675,0.0184,0.4163,0.0463,1.2897,0.3224,0.745,0.1862,0.0433,0.0043,0.2169,0.0434,0.8046,0.2194,0.7723,0.0858,0.0,0.0,0.2442,0.061,0.4711,0.0471,0.5303,0.1178,0.3297,0.0275,0.6779,0.1356,0.0607,0.0166,0.3503,0.0389,1.2271,0.3068,1,1,1,1,1,1,1,1,9.226723767549519,0,No anomaly
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4318,0.0864,0.0675,0.0184,0.4163,0.0463,1.2897,0.3224,0.745,0.1862,0.0433,0.0043,0.2169,0.0434,0.8046,0.2194,0.0,0.0,0.0,0.0,0.2442,0.061,0.4711,0.0471,0.5303,0.1178,0.3297,0.0275,0.6779,0.1356,0.0607,0.0166,0.3503,0.0389,1.2271,0.3068,1,1,1,1,1,1,1,1,9.226723767549519,0,No anomaly
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4318,0.0864,0.0675,0.0184,0.4163,0.0463,1.2897,0.3224,0.745,0.1862,0.0433,0.0043,0.2169,0.0434,0.8046,0.2194,0.0,0.0,0.0,0.0,0.2442,0.061,0.4711,0.0471,0.0,0.0,0.3297,0.0275,0.6779,0.1356,0.0607,0.0166,0.3503,0.0389,1.2271,0.3068,1,1,1,1,1,1,1,1,9.226723767549519,1,Load Lost > 20%
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5862,0.3172,2.0884,0.5696,1.3505,0.1501,2.0703,0.5176,0.9568,0.2392,1.5449,0.1545,1.8401,0.368,1.5987,0.436,1.7123,0.1903,1.8919,0.473,1.2843,0.3211,1.1215,0.1121,1.3854,0.3079,1.7236,0.1436,1.5412,0.3082,1.2646,0.3449,1.6408,0.1823,1.6177,0.4044,1,1,1,1,1,1,1,1,28.219110951868952,0,No anomaly
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5862,0.3172,2.0884,0.5696,1.3505,0.1501,2.0703,0.5176,0.9568,0.2392,1.5449,0.1545,1.8401,0.368,1.5987,0.436,1.7123,0.1903,1.8919,0.473,1.2843,0.3211,1.1215,0.1121,1.3854,0.3079,1.7236,0.1436,1.5412,0.3082,1.2646,0.3449,1.6408,0.1823,1.6177,0.4044,0,1,1,1,1,1,1,1,28.219110951868952,0,No anomaly
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5862,0.3172,2.0884,0.5696,1.3505,0.1501,2.0703,0.5176,0.9568,0.2392,1.5449,0.1545,1.8401,0.368,1.5987,0.436,1.7123,0.1903,1.8919,0.473,1.2843,0.3211,1.1215,0.1121,1.3854,0.3079,1.7236,0.1436,1.5412,0.3082,1.2646,0.3449,1.6408,0.1823,1.6177,0.4044,0,1,1,1,0,1,1,1,28.219110951868952,0,No anomaly
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5862,0.3172,2.0884,0.5696,1.3505,0.1501,2.0703,0.5176,0.9568,0.2392,1.5449,0.1545,1.8401,0.368,1.5987,0.436,1.7123,0.1903,1.8919,0.473,1.2843,0.3211,0.0,0.0,1.3854,0.3079,1.7236,0.1436,1.5412,0.3082,1.2646,0.3449,1.6408,0.1823,1.6177,0.4044,0,1,1,1,0,1,1,1,28.219110951868952,0,No anomaly
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5862,0.3172,2.0884,0.5696,1.3505,0.1501,2.0703,0.5176,0.9568,0.2392,1.5449,0.1545,1.8401,0.368,1.5987,0.436,1.7123,0.1903,1.8919,0.473,1.2843,0.3211,0.0,0.0,0.0,0.0,1.7236,0.1436,1.5412,0.3082,1.2646,0.3449,1.6408,0.1823,1.6177,0.4044,0,1,1,1,0,1,1,1,28.219110951868952,0,No anomaly
1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5862,0.3172,2.0884,0.5696,1.3505,0.1501,0.0,0.0,0.9568,0.2392,1.5449,0.1545,1.8401,0.368,1.5987,0.436,1.7123,0.1903,1.8919,0.473,1.2843,0.3211,0.0,0.0,0.0,0.0,1.7236,0.1436,1.5412,0.3082,1.2646,0.3449,1.6408,0.1823,1.6177,0.4044,0,1,1,1,0,1,1,1,28.219110951868952,0,No anomaly
