CB_0_closed,CB_1_closed,CB_2_closed,CB_3_closed,CB_4_closed,CB_5_closed,CB_6_closed,CB_7_closed,CB_8_closed,CB_9_closed,CB_10_closed,CB_11_closed,CB_12_closed,CB_13_closed,CB_14_closed,CB_15_closed,CB_16_closed,CB_17_closed,CB_18_closed,CB_19_closed,CB_20_closed,CB_21_closed,CB_151_closed,CB_152_closed,CB_153_closed,CB_158_closed,CB_22_closed,CB_23_closed,CB_24_closed,CB_25_closed,CB_171_closed,CB_172_closed,CB_173_closed,CB_178_closed,load_0::p,load_0::q,load_1::p,load_1::q,load_2::p,load_2::q,load_3::p,load_3::q,load_4::p,load_4::q,load_5::p,load_5::q,load_6::p,load_6::q,load_7::p,load_7::q,load_8::p,load_8::q,load_9::p,load_9::q,load_10::p,load_10::q,load_11::p,load_11::q,load_12::p,load_12::q,load_13::p,load_13::q,load_14::p,load_14::q,load_15::p,load_15::q,load_16::p,load_16::q,load_17::p,load_17::q,trafo_0_in_service,trafo_1_in_service,trafo_2_in_service,trafo_3_in_service,trafo_4_in_service,trafo_5_in_service,feeder_0_in_service,feeder_1_in_service,total_init_load,anomaly,reason
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4083,0.0817,0.8881,0.2422,0.4698,0.0522,0.8481,0.212,0.1324,0.0331,0.7956,0.0796,0.3369,0.0674,0.3342,0.0911,0.9878,0.1098,0.8539,0.2135,0.298,0.0745,0.8158,0.0816,0.6091,0.1354,0.5591,0.0466,0.7704,0.1541,0.3996,0.109,0.3009,0.0334,0.767,0.1917,1,1,1,1,1,1,1,1,10.575171156228127,0,No anomaly
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4083,0.0817,0.8881,0.2422,0.4698,0.0522,0.8481,0.212,0.1324,0.0331,0.7956,0.0796,0.3369,0.0674,0.3342,0.0911,0.9878,0.1098,0.0,0.0,0.298,0.0745,0.8158,0.0816,0.6091,0.1354,0.5591,0.0466,0.7704,0.1541,0.3996,0.109,0.3009,0.0334,0.767,0.1917,1,1,1,1,1,1,0,1,10.575171156228127,0,No anomaly
1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.4083,0.0817,0.0,0.0,0.4698,0.0522,0.8481,0.212,0.1324,0.0331,0.7956,0.0796,0.3369,0.0674,0.3342,0.0911,0.9878,0.1098,0.0,0.0,0.298,0.0745,0.8158,0.0816,0.6091,0.1354,0.5591,0.0466,0.7704,0.1541,0.3996,0.109,0.3009,0.0334,0.767,0.1917,1,1,1,1,1,1,0,1,10.575171156228127,0,No anomaly
1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0.4083,0.0817,0.0,0.0,0.4698,0.0522,0.8481,0.212,0.1324,0.0331,0.7956,0.0796,0.3369,0.0674,0.3342,0.0911,0.9878,0.1098,0.0,0.0,0.0,0.0,0.8158,0.0816,0.6091,0.1354,0.5591,0.0466,0.7704,0.1541,0.0,0.0,0.3009,0.0334,0.767,0.1917,1,1,1,1,1,1,0,1,10.575171156228127,1,Load Lost > 20%
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.3459,0.2692,1.7391,0.4743,1.0268,0.1141,1.4106,0.3527,1.2722,0.3181,1.4143,0.1414,1.3085,0.2617,1.7781,0.4849,1.5752,0.175,2.2675,0.5669,0.912,0.228,1.2498,0.125,1.1823,0.2627,1.5928,0.1327,1.6098,0.322,1.8867,0.5146,1.6,0.1778,1.5271,0.3818,1,1,1,1,1,1,1,1,26.698542055582788,0,No anomaly
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.3459,0.2692,1.7391,0.4743,1.0268,0.1141,1.4106,0.3527,1.2722,0.3181,1.4143,0.1414,1.3085,0.2617,1.7781,0.4849,1.5752,0.175,2.2675,0.5669,0.912,0.228,1.2498,0.125,1.1823,0.2627,1.5928,0.1327,1.6098,0.322,1.8867,0.5146,1.6,0.1778,1.5271,0.3818,1,1,0,1,1,1,1,0,26.698542055582788,0,No anomaly
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.3459,0.2692,1.7391,0.4743,1.0268,0.1141,1.4106,0.3527,1.2722,0.3181,1.4143,0.1414,1.3085,0.2617,1.7781,0.4849,1.5752,0.175,2.2675,0.5669,0.912,0.228,0.0,0.0,1.1823,0.2627,1.5928,0.1327,1.6098,0.322,1.8867,0.5146,1.6,0.1778,1.5271,0.3818,1,1,0,1,0,1,1,0,26.698542055582788,0,No anomaly
1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.3459,0.2692,1.7391,0.4743,1.0268,0.1141,1.4106,0.3527,1.2722,0.3181,0.0,0.0,1.3085,0.2617,1.7781,0.4849,1.5752,0.175,2.2675,0.5669,0.912,0.228,0.0,0.0,1.1823,0.2627,1.5928,0.1327,1.6098,0.322,1.8867,0.5146,1.6,0.1778,1.5271,0.3818,1,1,0,1,0,1,1,1,26.698542055582788,0,No anomaly
1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.3459,0.2692,1.7391,0.4743,1.0268,0.1141,1.4106,0.3527,1.2722,0.3181,0.0,0.0,1.3085,0.2617,1.7781,0.4849,1.5752,0.175,0.0,0.0,0.912,0.228,0.0,0.0,1.1823,0.2627,1.5928,0.1327,1.6098,0.322,1.8867,0.5146,1.6,0.1778,1.5271,0.3818,1,1,0,1,0,1,1,1,26.698542055582788,0,No anomaly
1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,0,1,0,1,26.698542055582788,1,Load Lost > 20%
